doc_id,paragraph_idx,tokens,coarse,coarse_probs,fine,fine_probs,is_relation
nyt_00006,2,meaning,Contingency,0.8195,Contingency.Cause,0.7482,0.939050018787384
nyt_00006,6,putting,Contingency,0.8206,Contingency.Cause,0.6553,0.9083230495452881
nyt_00006,7,suggesting,Contingency,0.9297,Contingency.Cause,0.7997,0.9614714682102203
nyt_00012,3,leaving,Contingency,0.6714,Contingency.Cause,0.6434,0.7226044535636902
nyt_00018,12,creating,Contingency,0.7498,Contingency.Cause,0.6311,0.8383252024650574
nyt_00022,5,That-would-mean,Contingency,0.4519,None,0.3771,0.6671414375305176
nyt_00023,10,providing,Contingency,0.6604,Contingency.Cause,0.5502,0.787298321723938
nyt_00026,11,which-allows,Contingency,0.4663,Contingency.Cause,0.4133,0.6284021735191345
nyt_00027,8,not,None,0.3224,None,0.2816,0.6775938868522644
nyt_00045,15,allowing,Contingency,0.6982,Contingency.Cause,0.5776,0.8031213581562042
nyt_00045,15,allowing,Contingency,0.7812,Contingency.Cause,0.49,0.833478257060051
nyt_00047,0,trying,Contingency,0.4274,None,0.4102,0.6358705163002014
nyt_00062,6,not,Expansion,0.3633,None,0.2765,0.6392242908477783
nyt_00071,22,That-led-to-speculation,Contingency,0.4922,None,0.4198,0.6008771657943726
nyt_00076,13,pushing,Contingency,0.8378,Contingency.Cause,0.7692,0.8976064473390579
nyt_00079,9,keeping,Contingency,0.7028,None,0.3863,0.7730451375246048
nyt_00079,23,That-means,Contingency,0.5346,Contingency.Cause,0.468,0.7313481569290161
nyt_00087,9,not,Expansion,0.5708,None,0.3589,0.7495198845863342
nyt_00087,12,providing,Contingency,0.6944,Contingency.Cause,0.6909,0.8151509463787079
nyt_00095,14,mirroring,Contingency,0.5598,Contingency.Cause,0.475,0.6537782549858093
nyt_00101,2,Could-that-be-occurring-because,Contingency,0.5394,Contingency.Cause,0.3801,0.6238193809986115
nyt_00106,19,It-makes,Contingency,0.6055,Contingency.Cause,0.3506,0.7538985162973404
nyt_00112,16,helping,Contingency,0.907,Contingency.Cause,0.7988,0.9369401931762695
nyt_00127,7,sending,Contingency,0.5862,Contingency.Cause,0.3853,0.6760396063327789
